@relation GenesfromEnsembl

@attribute ID string
@attribute species string
@attribute source string
@attribute type string
@attribute logic_name string
@attribute description string
@attribute display_name string
@attribute assembly_name string
@attribute seq_region_name string
@attribute start numeric
@attribute end numeric
@attribute strand numeric
@attribute version numeric
@attribute db_type string
@attribute transcript numeric

@data
ENSG00000138443,homo_sapiens,ensembl_havana,undefined,ensembl_havana_gene,ablinteractor2[Source:HGNCSymbol;Acc:HGNC:24011],ABI2,GRCh38,2,203328219,203447723,1,15,core,24
ENSG00000139679,homo_sapiens,ensembl_havana,undefined,ensembl_havana_gene,lysophosphatidicacidreceptor6[Source:HGNCSymbol;Acc:HGNC:15520],LPAR6,GRCh38,13,48389567,48444704,-1,15,core,9
ENSG00000140835,homo_sapiens,ensembl_havana,undefined,ensembl_havana_gene,carbohydratesulfotransferase4[Source:HGNCSymbol;Acc:HGNC:1972],CHST4,GRCh38,16,71525233,71538746,1,9,core,3
ENSG00000152767,homo_sapiens,ensembl_havana,undefined,ensembl_havana_gene,FERMARH/RhoGEFandpleckstrindomainprotein1[Source:HGNCSymbol;Acc:HGNC:3591],FARP1,GRCh38,13,98142562,98455176,1,16,core,42
ENSG00000158195,homo_sapiens,ensembl_havana,undefined,ensembl_havana_gene,WASproteinfamilymember2[Source:HGNCSymbol;Acc:HGNC:12733],WASF2,GRCh38,1,27404226,27490158,-1,10,core,2
ENSG00000162366,homo_sapiens,ensembl_havana,undefined,ensembl_havana_gene,PDZK1interactingprotein1[Source:HGNCSymbol;Acc:HGNC:16887],PDZK1IP1,GRCh38,1,47183593,47191044,-1,7,core,4
ENSG00000180910,homo_sapiens,ensembl_havana,undefined,ensembl_havana_lincrna,testis-specifictranscriptY-linked11(non-proteincoding)[Source:HGNCSymbol;Acc:HGNC:18492],TTTY11,GRCh38,Y,8783310,8817382,-1,7,core,1
ENSG00000182220,homo_sapiens,ensembl_havana,undefined,ensembl_havana_gene,ATPaseH+transportingaccessoryprotein2[Source:HGNCSymbol;Acc:HGNC:18305],ATP6AP2,GRCh38,X,40579372,40606848,1,14,core,33
ENSG00000182389,homo_sapiens,ensembl_havana,undefined,ensembl_havana_gene,calciumvoltage-gatedchannelauxiliarysubunitbeta4[Source:HGNCSymbol;Acc:HGNC:1404],CACNB4,GRCh38,2,151832768,152099475,-1,19,core,74
ENSG00000201348,homo_sapiens,ensembl,undefined,ncrna,RNAU105Bsmallnucleolar[Source:HGNCSymbol;Acc:HGNC:10103],RNU105B,GRCh38,20,8831186,8831393,1,1,core,1
ENSG00000202111,homo_sapiens,ensembl,undefined,ncrna,vaultRNA1-2[Source:HGNCSymbol;Acc:HGNC:12655],VTRNA1-2,GRCh38,5,140718925,140719013,1,1,core,1
ENSG00000226790,homo_sapiens,havana,undefined,havana,heterogeneousnuclearribonucleoproteinA3pseudogene1[Source:HGNCSymbol;Acc:HGNC:13729],HNRNPA3P1,GRCh38,10,43789249,43790387,-1,3,core,1
ENSG00000248848,homo_sapiens,ensembl_havana,undefined,ensembl_havana_gene,pro-plateletbasicproteinpseudogene2[Source:HGNCSymbol;Acc:HGNC:16981],PPBPP2,GRCh38,4,74054038,74055399,-1,1,core,2
ENSG00000253521,homo_sapiens,havana,undefined,havana,Helicobacterpyloriresponsive1(non-proteincoding)[Source:HGNCSymbol;Acc:HGNC:16071],HPYR1,GRCh38,8,132560498,132561479,-1,1,core,1
